ID_MUNZONA,NM_TIPO_ELEICAO,NM_MUNICIPIO,NR_ZONA,DS_CARGO,TP_AGREMIACAO,SG_PARTIDO,NM_PARTIDO,QT_TOTAL_VOTOS
BARÃO_152,Eleição Ordinária,BARÃO,152,Vereador,Partido isolado,MDB,Movimento Democrático Brasileiro,736
CANGUÇU_14,Eleição Ordinária,CANGUÇU,14,Vereador,Partido isolado,PSDB,Partido da Social Democracia Brasileira,2055
VERANÓPOLIS_88,Eleição Ordinária,VERANÓPOLIS,88,Vereador,Partido isolado,PP,PROGRESSISTAS,1733
GRAVATAÍ_173,Eleição Ordinária,GRAVATAÍ,173,Prefeito,Partido isolado,PSOL,Partido Socialismo e Liberdade,1634
SALDANHA MARINHO_115,Eleição Ordinária,SALDANHA MARINHO,115,Vereador,Partido isolado,PP,PROGRESSISTAS,1233
SOBRADINHO_53,Eleição Ordinária,SOBRADINHO,53,Vereador,Partido isolado,PT,Partido dos Trabalhadores,584
BARRA DO QUARAÍ_57,Eleição Ordinária,BARRA DO QUARAÍ,57,Vereador,Partido isolado,PDT,Partido Democrático Trabalhista,656
ARROIO DOS RATOS_50,Eleição Ordinária,ARROIO DOS RATOS,50,Vereador,Partido isolado,PP,PROGRESSISTAS,2094
LAJEADO_29,Eleição Ordinária,LAJEADO,29,Vereador,Partido isolado,PODE,Podemos,783
PROTÁSIO ALVES_75,Eleição Ordinária,PROTÁSIO ALVES,75,Vereador,Partido isolado,PP,PROGRESSISTAS,541
SANTA ROSA_42,Eleição Ordinária,SANTA ROSA,42,Vereador,Partido isolado,DEM,Democratas,1344
SALTO DO JACUÍ_154,Eleição Ordinária,SALTO DO JACUÍ,154,Vereador,Partido isolado,REPUBLICANOS,REPUBLICANOS,154
PORTO ALEGRE_113,Eleição Ordinária,PORTO ALEGRE,113,Prefeito,Partido isolado,REPUBLICANOS,REPUBLICANOS,1806
TABAÍ_56,Eleição Ordinária,TABAÍ,56,Vereador,Partido isolado,PTB,Partido Trabalhista Brasileiro,229
FARROUPILHA_61,Eleição Ordinária,FARROUPILHA,61,Prefeito,Partido isolado,PSD,Partido Social Democrático,1033
GRAMADO XAVIER_40,Eleição Ordinária,GRAMADO XAVIER,40,Vereador,Partido isolado,PT,Partido dos Trabalhadores,216
SÃO PEDRO DA SERRA_152,Eleição Ordinária,SÃO PEDRO DA SERRA,152,Prefeito,Partido isolado,MDB,Movimento Democrático Brasileiro,1978
PORTO ALEGRE_2,Eleição Ordinária,PORTO ALEGRE,2,Prefeito,Coligação,PP,PROGRESSISTAS,1065
ESTÂNCIA VELHA_118,Eleição Ordinária,ESTÂNCIA VELHA,118,Prefeito,Coligação,PDT,Partido Democrático Trabalhista,5385
VIAMÃO_59,Eleição Ordinária,VIAMÃO,59,Vereador,Partido isolado,PCO,Partido da Causa Operária,33
DAVID CANABARRO_138,Eleição Ordinária,DAVID CANABARRO,138,Prefeito,Coligação,CIDADANIA,Cidadania,1980
CHARQUEADAS_50,Eleição Ordinária,CHARQUEADAS,50,Prefeito,Coligação,PT,Partido dos Trabalhadores,3603
PELOTAS_34,Eleição Ordinária,PELOTAS,34,Vereador,Partido isolado,DEM,Democratas,2277
IVOTI_118,Eleição Ordinária,IVOTI,118,Vereador,Partido isolado,PP,PROGRESSISTAS,5576
SÃO MARCOS_137,Eleição Ordinária,SÃO MARCOS,137,Prefeito,Coligação,MDB,Movimento Democrático Brasileiro,8450
PORTO ALEGRE_160,Eleição Ordinária,PORTO ALEGRE,160,Vereador,Partido isolado,PC do B,Partido Comunista do Brasil,4045
GRAVATAÍ_71,Eleição Ordinária,GRAVATAÍ,71,Vereador,Partido isolado,AVANTE,AVANTE,504
BOM RETIRO DO SUL_21,Eleição Ordinária,BOM RETIRO DO SUL,21,Vereador,Partido isolado,MDB,Movimento Democrático Brasileiro,635
SANTA CECÍLIA DO SUL_100,Eleição Ordinária,SANTA CECÍLIA DO SUL,100,Vereador,Partido isolado,PSB,Partido Socialista Brasileiro,422
BOA VISTA DO BURICÁ_89,Eleição Ordinária,BOA VISTA DO BURICÁ,89,Vereador,Partido isolado,PT,Partido dos Trabalhadores,1345
PORTO ALEGRE_159,Eleição Ordinária,PORTO ALEGRE,159,Prefeito,Partido isolado,PSD,Partido Social Democrático,1331
VIAMÃO_72,Eleição Ordinária,VIAMÃO,72,Vereador,Partido isolado,SOLIDARIEDADE,Solidariedade,1400
SANTO ANTÔNIO DA PATRULHA_46,Eleição Ordinária,SANTO ANTÔNIO DA PATRULHA,46,Vereador,Partido isolado,MDB,Movimento Democrático Brasileiro,7179
PORTO ALEGRE_2,Eleição Ordinária,PORTO ALEGRE,2,Vereador,Partido isolado,AVANTE,AVANTE,116
CANDELÁRIA_13,Eleição Ordinária,CANDELÁRIA,13,Vereador,Partido isolado,PDT,Partido Democrático Trabalhista,141
ARROIO DO SAL_85,Eleição Ordinária,ARROIO DO SAL,85,Prefeito,Coligação,REPUBLICANOS,REPUBLICANOS,2557
SENTINELA DO SUL_84,Eleição Ordinária,SENTINELA DO SUL,84,Prefeito,Partido isolado,MDB,Movimento Democrático Brasileiro,1903
SÃO JERÔNIMO_50,Eleição Ordinária,SÃO JERÔNIMO,50,Vereador,Partido isolado,PP,PROGRESSISTAS,1734
NOVA RAMADA_23,Eleição Ordinária,NOVA RAMADA,23,Vereador,Partido isolado,PC do B,Partido Comunista do Brasil,182
AMETISTA DO SUL_64,Eleição Ordinária,AMETISTA DO SUL,64,Vereador,Partido isolado,PTB,Partido Trabalhista Brasileiro,12
CAXIAS DO SUL_136,Eleição Ordinária,CAXIAS DO SUL,136,Vereador,Partido isolado,PODE,Podemos,1493
CHUVISCA_12,Eleição Ordinária,CHUVISCA,12,Vereador,Partido isolado,PL,Partido Liberal,169
PROGRESSO_29,Eleição Ordinária,PROGRESSO,29,Vereador,Partido isolado,MDB,Movimento Democrático Brasileiro,887
OSÓRIO_77,Eleição Ordinária,OSÓRIO,77,Vereador,Partido isolado,MDB,Movimento Democrático Brasileiro,9078
PORTO ALEGRE_1,Eleição Ordinária,PORTO ALEGRE,1,Vereador,Partido isolado,MDB,Movimento Democrático Brasileiro,5224
PINHAL DA SERRA_58,Eleição Ordinária,PINHAL DA SERRA,58,Prefeito,Coligação,MDB,Movimento Democrático Brasileiro,1044
PORTO ALEGRE_2,Eleição Ordinária,PORTO ALEGRE,2,Vereador,Partido isolado,PC do B,Partido Comunista do Brasil,4940
AGUDO_119,Eleição Ordinária,AGUDO,119,Prefeito,Partido isolado,MDB,Movimento Democrático Brasileiro,2651
BOA VISTA DO SUL_98,Eleição Ordinária,BOA VISTA DO SUL,98,Prefeito,Coligação,MDB,Movimento Democrático Brasileiro,980
PORTO ALEGRE_112,Eleição Ordinária,PORTO ALEGRE,112,Prefeito,Partido isolado,PSTU,Partido Socialista dos Trabalhadores Unificado,79
PLANALTO_144,Eleição Ordinária,PLANALTO,144,Vereador,Partido isolado,PDT,Partido Democrático Trabalhista,1696
TAQUARI_56,Eleição Ordinária,TAQUARI,56,Vereador,Partido isolado,PT,Partido dos Trabalhadores,3436
SAGRADA FAMÍLIA_32,Eleição Ordinária,SAGRADA FAMÍLIA,32,Prefeito,Coligação,PT,Partido dos Trabalhadores,1336
ARROIO GRANDE_92,Eleição Ordinária,ARROIO GRANDE,92,Vereador,Partido isolado,PT,Partido dos Trabalhadores,1108
CAMPESTRE DA SERRA_58,Eleição Ordinária,CAMPESTRE DA SERRA,58,Vereador,Partido isolado,PP,PROGRESSISTAS,1298
TENENTE PORTELA_101,Eleição Ordinária,TENENTE PORTELA,101,Vereador,Partido isolado,PP,PROGRESSISTAS,1882
ERNESTINA_128,Eleição Ordinária,ERNESTINA,128,Vereador,Partido isolado,PDT,Partido Democrático Trabalhista,1008
TUPANDI_11,Eleição Ordinária,TUPANDI,11,Vereador,Partido isolado,DEM,Democratas,148
GRAMADO_65,Eleição Ordinária,GRAMADO,65,Vereador,Partido isolado,PP,PROGRESSISTAS,8865
BENJAMIN CONSTANT DO SUL_168,Eleição Ordinária,BENJAMIN CONSTANT DO SUL,168,Vereador,Partido isolado,CIDADANIA,Cidadania,483
TAPES_84,Eleição Ordinária,TAPES,84,Vereador,Partido isolado,PSB,Partido Socialista Brasileiro,165
SANTO ÂNGELO_45,Eleição Ordinária,SANTO ÂNGELO,45,Vereador,Partido isolado,PSD,Partido Social Democrático,1402
