CD_MUNICIPIO,NR_ZONA,DS_GRAU_ESCOLARIDADE,QT_ELEITORES_PERFIL,NM_PARTIDO,NM_MUNICIPIO,QT_TOTAL_VOTOS
84735,3,ANALFABETO,28,PROGRESSISTAS,ÁUREA,856
84735,3,ANALFABETO,28,Partido Liberal,ÁUREA,528
84735,3,ANALFABETO,28,REPUBLICANOS,ÁUREA,209
84735,3,ANALFABETO,28,Movimento Democrático Brasileiro,ÁUREA,345
84735,3,ANALFABETO,28,Partido Trabalhista Brasileiro,ÁUREA,484
84735,3,ANALFABETO,28,Cidadania,ÁUREA,48
84735,3,ANALFABETO,28,PROGRESSISTAS,ÁUREA,1422
84735,3,ANALFABETO,28,Partido dos Trabalhadores,ÁUREA,515
84735,3,ANALFABETO,28,Partido Liberal,ÁUREA,1358
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,PROGRESSISTAS,ÁUREA,856
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,Partido Liberal,ÁUREA,528
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,REPUBLICANOS,ÁUREA,209
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,Movimento Democrático Brasileiro,ÁUREA,345
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,Partido Trabalhista Brasileiro,ÁUREA,484
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,Cidadania,ÁUREA,48
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,PROGRESSISTAS,ÁUREA,1422
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,Partido dos Trabalhadores,ÁUREA,515
84735,3,ENSINO FUNDAMENTAL COMPLETO,250,Partido Liberal,ÁUREA,1358
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,PROGRESSISTAS,ÁUREA,856
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,Partido Liberal,ÁUREA,528
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,REPUBLICANOS,ÁUREA,209
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,Movimento Democrático Brasileiro,ÁUREA,345
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,Partido Trabalhista Brasileiro,ÁUREA,484
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,Cidadania,ÁUREA,48
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,PROGRESSISTAS,ÁUREA,1422
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,Partido dos Trabalhadores,ÁUREA,515
84735,3,ENSINO FUNDAMENTAL INCOMPLETO,1431,Partido Liberal,ÁUREA,1358
84735,3,ENSINO MÉDIO COMPLETO,593,PROGRESSISTAS,ÁUREA,856
84735,3,ENSINO MÉDIO COMPLETO,593,Partido Liberal,ÁUREA,528
84735,3,ENSINO MÉDIO COMPLETO,593,REPUBLICANOS,ÁUREA,209
84735,3,ENSINO MÉDIO COMPLETO,593,Movimento Democrático Brasileiro,ÁUREA,345
84735,3,ENSINO MÉDIO COMPLETO,593,Partido Trabalhista Brasileiro,ÁUREA,484
84735,3,ENSINO MÉDIO COMPLETO,593,Cidadania,ÁUREA,48
84735,3,ENSINO MÉDIO COMPLETO,593,PROGRESSISTAS,ÁUREA,1422
84735,3,ENSINO MÉDIO COMPLETO,593,Partido dos Trabalhadores,ÁUREA,515
84735,3,ENSINO MÉDIO COMPLETO,593,Partido Liberal,ÁUREA,1358
84735,3,ENSINO MÉDIO INCOMPLETO,307,PROGRESSISTAS,ÁUREA,856
84735,3,ENSINO MÉDIO INCOMPLETO,307,Partido Liberal,ÁUREA,528
84735,3,ENSINO MÉDIO INCOMPLETO,307,REPUBLICANOS,ÁUREA,209
84735,3,ENSINO MÉDIO INCOMPLETO,307,Movimento Democrático Brasileiro,ÁUREA,345
84735,3,ENSINO MÉDIO INCOMPLETO,307,Partido Trabalhista Brasileiro,ÁUREA,484
84735,3,ENSINO MÉDIO INCOMPLETO,307,Cidadania,ÁUREA,48
84735,3,ENSINO MÉDIO INCOMPLETO,307,PROGRESSISTAS,ÁUREA,1422
84735,3,ENSINO MÉDIO INCOMPLETO,307,Partido dos Trabalhadores,ÁUREA,515
84735,3,ENSINO MÉDIO INCOMPLETO,307,Partido Liberal,ÁUREA,1358
84735,3,LÊ E ESCREVE,123,PROGRESSISTAS,ÁUREA,856
84735,3,LÊ E ESCREVE,123,Partido Liberal,ÁUREA,528
84735,3,LÊ E ESCREVE,123,REPUBLICANOS,ÁUREA,209
84735,3,LÊ E ESCREVE,123,Movimento Democrático Brasileiro,ÁUREA,345
84735,3,LÊ E ESCREVE,123,Partido Trabalhista Brasileiro,ÁUREA,484
84735,3,LÊ E ESCREVE,123,Cidadania,ÁUREA,48
84735,3,LÊ E ESCREVE,123,PROGRESSISTAS,ÁUREA,1422
84735,3,LÊ E ESCREVE,123,Partido dos Trabalhadores,ÁUREA,515
84735,3,LÊ E ESCREVE,123,Partido Liberal,ÁUREA,1358
84735,3,SUPERIOR COMPLETO,193,PROGRESSISTAS,ÁUREA,856
84735,3,SUPERIOR COMPLETO,193,Partido Liberal,ÁUREA,528
84735,3,SUPERIOR COMPLETO,193,REPUBLICANOS,ÁUREA,209
84735,3,SUPERIOR COMPLETO,193,Movimento Democrático Brasileiro,ÁUREA,345
84735,3,SUPERIOR COMPLETO,193,Partido Trabalhista Brasileiro,ÁUREA,484
84735,3,SUPERIOR COMPLETO,193,Cidadania,ÁUREA,48
84735,3,SUPERIOR COMPLETO,193,PROGRESSISTAS,ÁUREA,1422
84735,3,SUPERIOR COMPLETO,193,Partido dos Trabalhadores,ÁUREA,515
84735,3,SUPERIOR COMPLETO,193,Partido Liberal,ÁUREA,1358
84735,3,SUPERIOR INCOMPLETO,113,PROGRESSISTAS,ÁUREA,856
84735,3,SUPERIOR INCOMPLETO,113,Partido Liberal,ÁUREA,528
84735,3,SUPERIOR INCOMPLETO,113,REPUBLICANOS,ÁUREA,209
84735,3,SUPERIOR INCOMPLETO,113,Movimento Democrático Brasileiro,ÁUREA,345
84735,3,SUPERIOR INCOMPLETO,113,Partido Trabalhista Brasileiro,ÁUREA,484
84735,3,SUPERIOR INCOMPLETO,113,Cidadania,ÁUREA,48
84735,3,SUPERIOR INCOMPLETO,113,PROGRESSISTAS,ÁUREA,1422
84735,3,SUPERIOR INCOMPLETO,113,Partido dos Trabalhadores,ÁUREA,515
84735,3,SUPERIOR INCOMPLETO,113,Partido Liberal,ÁUREA,1358
84743,20,ANALFABETO,22,Partido Liberal,TRÊS ARROIOS,380
84743,20,ANALFABETO,22,Partido Trabalhista Brasileiro,TRÊS ARROIOS,473
84743,20,ANALFABETO,22,Partido dos Trabalhadores,TRÊS ARROIOS,264
84743,20,ANALFABETO,22,Movimento Democrático Brasileiro,TRÊS ARROIOS,579
84743,20,ANALFABETO,22,Movimento Democrático Brasileiro,TRÊS ARROIOS,1371
84743,20,ANALFABETO,22,Partido Democrático Trabalhista,TRÊS ARROIOS,464
84743,20,ENSINO FUNDAMENTAL COMPLETO,213,Partido Liberal,TRÊS ARROIOS,380
84743,20,ENSINO FUNDAMENTAL COMPLETO,213,Partido Trabalhista Brasileiro,TRÊS ARROIOS,473
84743,20,ENSINO FUNDAMENTAL COMPLETO,213,Partido dos Trabalhadores,TRÊS ARROIOS,264
84743,20,ENSINO FUNDAMENTAL COMPLETO,213,Movimento Democrático Brasileiro,TRÊS ARROIOS,579
84743,20,ENSINO FUNDAMENTAL COMPLETO,213,Movimento Democrático Brasileiro,TRÊS ARROIOS,1371
84743,20,ENSINO FUNDAMENTAL COMPLETO,213,Partido Democrático Trabalhista,TRÊS ARROIOS,464
84743,20,ENSINO FUNDAMENTAL INCOMPLETO,1142,Partido Liberal,TRÊS ARROIOS,380
84743,20,ENSINO FUNDAMENTAL INCOMPLETO,1142,Partido Trabalhista Brasileiro,TRÊS ARROIOS,473
84743,20,ENSINO FUNDAMENTAL INCOMPLETO,1142,Partido dos Trabalhadores,TRÊS ARROIOS,264
84743,20,ENSINO FUNDAMENTAL INCOMPLETO,1142,Movimento Democrático Brasileiro,TRÊS ARROIOS,579
84743,20,ENSINO FUNDAMENTAL INCOMPLETO,1142,Movimento Democrático Brasileiro,TRÊS ARROIOS,1371
84743,20,ENSINO FUNDAMENTAL INCOMPLETO,1142,Partido Democrático Trabalhista,TRÊS ARROIOS,464
84743,20,ENSINO MÉDIO COMPLETO,460,Partido Liberal,TRÊS ARROIOS,380
84743,20,ENSINO MÉDIO COMPLETO,460,Partido Trabalhista Brasileiro,TRÊS ARROIOS,473
84743,20,ENSINO MÉDIO COMPLETO,460,Partido dos Trabalhadores,TRÊS ARROIOS,264
84743,20,ENSINO MÉDIO COMPLETO,460,Movimento Democrático Brasileiro,TRÊS ARROIOS,579
84743,20,ENSINO MÉDIO COMPLETO,460,Movimento Democrático Brasileiro,TRÊS ARROIOS,1371
84743,20,ENSINO MÉDIO COMPLETO,460,Partido Democrático Trabalhista,TRÊS ARROIOS,464
84743,20,ENSINO MÉDIO INCOMPLETO,176,Partido Liberal,TRÊS ARROIOS,380
84743,20,ENSINO MÉDIO INCOMPLETO,176,Partido Trabalhista Brasileiro,TRÊS ARROIOS,473
84743,20,ENSINO MÉDIO INCOMPLETO,176,Partido dos Trabalhadores,TRÊS ARROIOS,264
84743,20,ENSINO MÉDIO INCOMPLETO,176,Movimento Democrático Brasileiro,TRÊS ARROIOS,579
84743,20,ENSINO MÉDIO INCOMPLETO,176,Movimento Democrático Brasileiro,TRÊS ARROIOS,1371
84743,20,ENSINO MÉDIO INCOMPLETO,176,Partido Democrático Trabalhista,TRÊS ARROIOS,464
84743,20,LÊ E ESCREVE,169,Partido Liberal,TRÊS ARROIOS,380
84743,20,LÊ E ESCREVE,169,Partido Trabalhista Brasileiro,TRÊS ARROIOS,473
84743,20,LÊ E ESCREVE,169,Partido dos Trabalhadores,TRÊS ARROIOS,264
84743,20,LÊ E ESCREVE,169,Movimento Democrático Brasileiro,TRÊS ARROIOS,579
84743,20,LÊ E ESCREVE,169,Movimento Democrático Brasileiro,TRÊS ARROIOS,1371
84743,20,LÊ E ESCREVE,169,Partido Democrático Trabalhista,TRÊS ARROIOS,464
84743,20,SUPERIOR COMPLETO,174,Partido Liberal,TRÊS ARROIOS,380
84743,20,SUPERIOR COMPLETO,174,Partido Trabalhista Brasileiro,TRÊS ARROIOS,473
84743,20,SUPERIOR COMPLETO,174,Partido dos Trabalhadores,TRÊS ARROIOS,264
84743,20,SUPERIOR COMPLETO,174,Movimento Democrático Brasileiro,TRÊS ARROIOS,579
84743,20,SUPERIOR COMPLETO,174,Movimento Democrático Brasileiro,TRÊS ARROIOS,1371
84743,20,SUPERIOR COMPLETO,174,Partido Democrático Trabalhista,TRÊS ARROIOS,464
84743,20,SUPERIOR INCOMPLETO,96,Partido Liberal,TRÊS ARROIOS,380
84743,20,SUPERIOR INCOMPLETO,96,Partido Trabalhista Brasileiro,TRÊS ARROIOS,473
84743,20,SUPERIOR INCOMPLETO,96,Partido dos Trabalhadores,TRÊS ARROIOS,264
84743,20,SUPERIOR INCOMPLETO,96,Movimento Democrático Brasileiro,TRÊS ARROIOS,579
84743,20,SUPERIOR INCOMPLETO,96,Movimento Democrático Brasileiro,TRÊS ARROIOS,1371
84743,20,SUPERIOR INCOMPLETO,96,Partido Democrático Trabalhista,TRÊS ARROIOS,464
84751,6,ANALFABETO,8,PROGRESSISTAS,NOVA ROMA DO SUL,1084
84751,6,ANALFABETO,8,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1148
84751,6,ANALFABETO,8,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1270
84751,6,ANALFABETO,8,Partido dos Trabalhadores,NOVA ROMA DO SUL,479
84751,6,ANALFABETO,8,PROGRESSISTAS,NOVA ROMA DO SUL,1574
84751,6,ENSINO FUNDAMENTAL COMPLETO,224,PROGRESSISTAS,NOVA ROMA DO SUL,1084
84751,6,ENSINO FUNDAMENTAL COMPLETO,224,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1148
84751,6,ENSINO FUNDAMENTAL COMPLETO,224,Movimento Democrático Brasileiro,NOVA ROMA DO SUL,1270
84751,6,ENSINO FUNDAMENTAL COMPLETO,224,Partido dos Trabalhadores,NOVA ROMA DO SUL,479
